x_2 y_2 r_2 " " x_1 y_1 r_1 " " dx dy dr " " abs(dx+dy)% dr%
0.129 0.189 0.041 " " 0.127344 0.192969 0.042 " " 0.002 0.004 0.001 " " 0.402 0.1
0.223 0.687 0.035 " " 0.221875 0.685938 0.042 " " 0.002 0.001 0.007 " " 0.10200000000000001 0.7000000000000001
0.809 0.427 0.027 " " 0.810938 0.429688 0.026 " " 0.002 0.002 0.001 " " 0.202 0.1
0.314 0.211 0.032 " " 0.314063 0.2125 0.033 " " 0.0 0.002 0.001 " " 0.2 0.1
0.25 0.553 0.034 " " 0.25 0.55625 0.037 " " 0.0 0.003 0.003 " " 0.3 0.3
0.145 0.836 0.031 " " 0.145313 0.836719 0.031 " " 0.001 0.001 0.0 " " 0.101 0.0
0.349 0.545 0.042 " " 0.346875 0.54375 0.04 " " 0.002 0.002 0.002 " " 0.202 0.2
0.518 0.523 0.023 " " 0.521094 0.521875 0.023 " " 0.003 0.001 0.0 " " 0.10300000000000001 0.0
0.778 0.832 0.041 " " 0.778906 0.832031 0.039 " " 0.001 0.0 0.002 " " 0.001 0.2
0.645 0.585 0.027 " " 0.644531 0.586719 0.025 " " 0.0 0.002 0.002 " " 0.2 0.2
0.316 0.337 0.028 " " 0.317187 0.339063 0.03 " " 0.002 0.002 0.002 " " 0.202 0.2
0.48 0.108 0.039 " " 0.482812 0.103906 0.033 " " 0.002 0.004 0.006 " " 0.402 0.6
0.191 0.841 0.036 " " 0.189063 0.839844 0.037 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.571 0.724 0.035 " " 0.574219 0.733594 0.036 " " 0.003 0.01 0.001 " " 1.003 0.1
0.769 0.224 0.035 " " 0.76875 0.221094 0.034 " " 0.0 0.003 0.001 " " 0.3 0.1
0.505 0.325 0.027 " " 0.50625 0.328906 0.025 " " 0.002 0.004 0.002 " " 0.402 0.2
0.43 0.528 0.036 " " 0.429688 0.530469 0.035 " " 0.001 0.002 0.001 " " 0.201 0.1
0.651 0.21 0.04 " " 0.651563 0.209375 0.039 " " 0.001 0.001 0.001 " " 0.101 0.1
0.384 0.872 0.03 " " 0.383594 0.871875 0.028 " " 0.0 0.0 0.002 " " 0.0 0.2
0.508 0.833 0.027 " " 0.507812 0.832031 0.026 " " 0.0 0.001 0.001 " " 0.1 0.1
0.166 0.503 0.031 " " 0.165625 0.503125 0.03 " " 0.0 0.0 0.001 " " 0.0 0.1
0.107 0.665 0.044 " " 0.10625 0.665625 0.041 " " 0.001 0.001 0.003 " " 0.101 0.3
0.102 0.38 0.029 " " 0.103125 0.38125 0.029 " " 0.001 0.001 0.0 " " 0.101 0.0
0.259 0.237 0.033 " " 0.257031 0.239063 0.036 " " 0.002 0.002 0.003 " " 0.202 0.3
0.667 0.455 0.027 " " 0.665625 0.453906 0.025 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.881 0.22 0.028 " " 0.882031 0.220313 0.032 " " 0.001 0.001 0.004 " " 0.101 0.4
0.014 0.113 0.025 " " 0.0148437 0.114844 0.025 " " 0.001 0.002 0.0 " " 0.201 0.0
0.408 0.38 0.033 " " 0.40625 0.384375 0.03 " " 0.002 0.004 0.003 " " 0.402 0.3
0.612 0.648 0.033 " " 0.614844 0.648438 0.029 " " 0.003 0.001 0.004 " " 0.10300000000000001 0.4
0.132 0.367 0.029 " " 0.132812 0.367969 0.028 " " 0.001 0.001 0.001 " " 0.101 0.1
0.233 0.977 0.026 " " 2 2 2 " " 2 2 2 " " 202 200
0.263 0.496 0.032 " " 0.264844 0.496094 0.03 " " 0.002 0.0 0.002 " " 0.002 0.2
0.107 0.796 0.059 " " 0.105469 0.799219 0.054 " " 0.002 0.003 0.005 " " 0.302 0.5
0.78 0.973 0.031 " " 0.782031 0.970312 0.03 " " 0.002 0.002 0.001 " " 0.202 0.1
0.637 0.741 0.036 " " 0.638281 0.742188 0.033 " " 0.001 0.002 0.003 " " 0.201 0.3
0.42 0.167 0.028 " " 0.419531 0.167187 0.027 " " 0.001 0.0 0.001 " " 0.001 0.1
0.209 0.288 0.025 " " 0.209375 0.289062 0.021 " " 0.0 0.001 0.004 " " 0.1 0.4
0.114 0.566 0.038 " " 0.115625 0.56875 0.035 " " 0.002 0.003 0.003 " " 0.302 0.3
0.541 0.42 0.029 " " 0.542188 0.422656 0.033 " " 0.002 0.003 0.004 " " 0.302 0.4
0.309 0.473 0.039 " " 0.310937 0.471875 0.037 " " 0.002 0.002 0.002 " " 0.202 0.2
0.511 0.127 0.032 " " 0.510938 0.128906 0.029 " " 0.0 0.002 0.003 " " 0.2 0.3
0.24 0.295 0.032 " " 0.241406 0.29375 0.033 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.726 0.246 0.036 " " 0.725 0.242969 0.034 " " 0.001 0.003 0.002 " " 0.301 0.2
0.119 0.463 0.038 " " 0.119531 0.46875 0.042 " " 0.001 0.006 0.004 " " 0.601 0.4
0.735 0.828 0.03 " " 0.7375 0.828125 0.033 " " 0.002 0.0 0.003 " " 0.002 0.3
0.314 0.604 0.058 " " 0.309375 0.597656 0.054 " " 0.005 0.006 0.004 " " 0.605 0.4
0.667 0.901 0.046 " " 0.666406 0.902344 0.043 " " 0.001 0.002 0.003 " " 0.201 0.3
0.523 0.687 0.029 " " 0.522656 0.6875 0.028 " " 0.0 0.001 0.001 " " 0.1 0.1
0.285 0.353 0.024 " " 0.284375 0.354688 0.022 " " 0.001 0.002 0.002 " " 0.201 0.2
0.41 0.582 0.033 " " 0.408594 0.582812 0.035 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.585 0.093 0.041 " " 0.589063 0.0914062 0.038 " " 0.004 0.002 0.003 " " 0.20400000000000001 0.3
0.012 0.314 0.025 " " 0.0117188 0.3125 0.023 " " 0.0 0.002 0.002 " " 0.2 0.2
0.012 0.437 0.026 " " 0.0132813 0.435937 0.027 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.209 0.324 0.025 " " 0.2125 0.325781 0.023 " " 0.003 0.002 0.002 " " 0.203 0.2
0.639 0.28 0.03 " " 0.6375 0.28125 0.031 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.134 0.057 0.031 " " 0.133594 0.0570313 0.033 " " 0.0 0.0 0.002 " " 0.0 0.2
0.47 0.794 0.026 " " 0.46875 0.796875 0.026 " " 0.001 0.003 0.0 " " 0.301 0.0
0.274 0.677 0.043 " " 0.273438 0.677344 0.04 " " 0.001 0.0 0.003 " " 0.001 0.3
0.434 0.333 0.031 " " 0.435156 0.339063 0.03 " " 0.002 0.006 0.001 " " 0.602 0.1
0.817 0.606 0.029 " " 0.817187 0.607031 0.029 " " 0.0 0.001 0.0 " " 0.1 0.0
0.496 0.652 0.022 " " 0.497656 0.653125 0.02 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.311 0.822 0.036 " " 0.310937 0.817969 0.034 " " 0.0 0.004 0.002 " " 0.4 0.2
0.434 0.68 0.033 " " 0.438281 0.68125 0.027 " " 0.004 0.001 0.006 " " 0.10400000000000001 0.6
0.013 0.485 0.029 " " 0.0125 0.483594 0.027 " " 0.0 0.002 0.002 " " 0.2 0.2
0.695 0.485 0.03 " " 0.696094 0.485938 0.03 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.474 0.569 0.031 " " 0.476562 0.569531 0.025 " " 0.002 0.001 0.006 " " 0.10200000000000001 0.6
0.476 0.241 0.043 " " 0.479688 0.242969 0.044 " " 0.004 0.002 0.001 " " 0.20400000000000001 0.1
0.391 0.73 0.034 " " 0.391406 0.728906 0.032 " " 0.001 0.001 0.002 " " 0.101 0.2
0.49 0.727 0.033 " " 0.49375 0.725 0.029 " " 0.004 0.002 0.004 " " 0.20400000000000001 0.4
0.859 0.823 0.038 " " 0.857813 0.821875 0.035 " " 0.001 0.002 0.003 " " 0.201 0.3
0.078 0.137 0.033 " " 0.0796875 0.139062 0.031 " " 0.002 0.002 0.002 " " 0.202 0.2
0.103 0.248 0.038 " " 0.100781 0.25 0.038 " " 0.002 0.002 0.0 " " 0.202 0.0
0.712 0.767 0.042 " " 0.713281 0.770312 0.035 " " 0.002 0.003 0.007 " " 0.302 0.7000000000000001
0.349 0.657 0.025 " " 0.348437 0.65625 0.028 " " 0.001 0.001 0.003 " " 0.101 0.3
0.67 0.248 0.034 " " 0.66875 0.253125 0.029 " " 0.002 0.005 0.005 " " 0.502 0.5
0.071 0.558 0.032 " " 0.06875 0.55625 0.027 " " 0.002 0.002 0.005 " " 0.202 0.5
0.691 0.426 0.032 " " 0.695312 0.425 0.031 " " 0.004 0.001 0.001 " " 0.10400000000000001 0.1
0.909 0.395 0.041 " " 0.910937 0.396094 0.04 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.826 0.688 0.031 " " 0.824219 0.689844 0.032 " " 0.002 0.002 0.001 " " 0.202 0.1
0.472 0.169 0.036 " " 0.471875 0.167969 0.035 " " 0.0 0.001 0.001 " " 0.1 0.1
0.122 0.889 0.027 " " 2 2 2 " " 2 2 2 " " 202 200
0.938 0.351 0.031 " " 0.939844 0.354688 0.03 " " 0.002 0.004 0.001 " " 0.402 0.1
0.859 0.184 0.022 " " 0.860937 0.182031 0.022 " " 0.002 0.002 0.0 " " 0.202 0.0
0.363 0.617 0.027 " " 0.363281 0.61875 0.027 " " 0.0 0.002 0.0 " " 0.2 0.0
0.009 0.803 0.024 " " 0.009375 0.809375 0.021 " " 0.001 0.006 0.003 " " 0.601 0.3
0.607 0.173 0.035 " " 0.609375 0.171094 0.034 " " 0.002 0.002 0.001 " " 0.202 0.1
0.35 0.123 0.033 " " 0.351562 0.121875 0.029 " " 0.002 0.002 0.004 " " 0.202 0.4
0.298 0.284 0.034 " " 0.299219 0.285937 0.036 " " 0.001 0.002 0.002 " " 0.201 0.2
0.323 0.694 0.032 " " 0.324219 0.692969 0.031 " " 0.001 0.001 0.001 " " 0.101 0.1
0.589 0.222 0.028 " " 0.589063 0.21875 0.028 " " 0.0 0.003 0.0 " " 0.3 0.0
0.976 0.209 0.029 " " 0.976562 0.207031 0.028 " " 0.001 0.002 0.001 " " 0.201 0.1
0.767 0.609 0.022 " " 0.767187 0.610156 0.026 " " 0.0 0.002 0.004 " " 0.2 0.4
0.769 0.484 0.032 " " 0.767187 0.4875 0.033 " " 0.002 0.004 0.001 " " 0.402 0.1
0.48 0.834 0.031 " " 0.478125 0.836719 0.029 " " 0.002 0.003 0.002 " " 0.302 0.2
0.568 0.388 0.034 " " 0.567969 0.389062 0.032 " " 0.0 0.001 0.002 " " 0.1 0.2
0.234 0.371 0.026 " " 0.23125 0.371094 0.024 " " 0.003 0.0 0.002 " " 0.003 0.2
0.145 0.605 0.027 " " 0.144531 0.604688 0.023 " " 0.001 0.0 0.004 " " 0.001 0.4
0.613 0.358 0.031 " " 0.6125 0.358594 0.026 " " 0.0 0.001 0.005 " " 0.1 0.5
0.079 0.38 0.024 " " 0.078125 0.378125 0.027 " " 0.001 0.002 0.003 " " 0.201 0.3
0.348 0.351 0.028 " " 0.347656 0.352344 0.026 " " 0.0 0.002 0.002 " " 0.2 0.2
0.043 0.382 0.031 " " 0.0445312 0.380469 0.028 " " 0.002 0.002 0.003 " " 0.202 0.3
0.302 0.883 0.032 " " 2 2 2 " " 2 2 2 " " 202 200
0.795 0.53 0.028 " " 0.792969 0.532031 0.03 " " 0.002 0.002 0.002 " " 0.202 0.2
0.964 0.289 0.022 " " 0.965625 0.289062 0.025 " " 0.002 0.0 0.003 " " 0.002 0.3
0.609 0.539 0.031 " " 0.619531 0.510938 0.024 " " 0.011 0.028 0.007 " " 2.8110000000000004 0.7000000000000001
0.697 0.126 0.028 " " 0.696094 0.123438 0.026 " " 0.001 0.002 0.002 " " 0.201 0.2
0.034 0.762 0.025 " " 0.028125 0.750781 0.033 " " 0.005 0.011 0.008 " " 1.1049999999999998 0.8
0.614 0.82 0.054 " " 0.614844 0.820312 0.056 " " 0.001 0.001 0.002 " " 0.101 0.2
0.584 0.464 0.032 " " 0.585156 0.4625 0.029 " " 0.001 0.002 0.003 " " 0.201 0.3
0.397 0.325 0.037 " " 2 2 2 " " 2 2 2 " " 202 200
0.747 0.165 0.025 " " 0.745313 0.166406 0.025 " " 0.002 0.002 0.0 " " 0.202 0.0
0.181 0.337 0.024 " " 0.179688 0.338281 0.024 " " 0.002 0.002 0.0 " " 0.202 0.0
0.194 0.212 0.029 " " 0.192969 0.215625 0.033 " " 0.001 0.003 0.004 " " 0.301 0.4
0.693 0.077 0.033 " " 0.700781 0.0742188 0.029 " " 0.008 0.003 0.004 " " 0.308 0.4
0.82 0.279 0.028 " " 0.821875 0.282031 0.029 " " 0.002 0.003 0.001 " " 0.302 0.1
0.037 0.516 0.03 " " 0.0375 0.514844 0.028 " " 0.0 0.001 0.002 " " 0.1 0.2
0.409 0.454 0.023 " " 0.410156 0.453906 0.023 " " 0.001 0.0 0.0 " " 0.001 0.0
0.42 0.827 0.025 " " 0.419531 0.825781 0.02 " " 0.0 0.002 0.005 " " 0.2 0.5
0.856 0.735 0.034 " " 0.857031 0.7375 0.036 " " 0.001 0.002 0.002 " " 0.201 0.2
0.973 0.66 0.038 " " 0.975 0.659375 0.037 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.163 0.314 0.024 " " 0.165625 0.314844 0.024 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.052 0.07 0.047 " " 0.0492188 0.06875 0.041 " " 0.003 0.001 0.006 " " 0.10300000000000001 0.6
0.222 0.473 0.032 " " 0.226562 0.472656 0.028 " " 0.005 0.001 0.004 " " 0.10500000000000001 0.4
0.452 0.636 0.027 " " 0.467187 0.646094 0.025 " " 0.016 0.01 0.002 " " 1.016 0.2
0.481 0.289 0.023 " " 0.478125 0.289062 0.022 " " 0.003 0.0 0.001 " " 0.003 0.1
0.191 0.061 0.028 " " 0.192188 0.0625 0.029 " " 0.001 0.002 0.001 " " 0.201 0.1
0.534 0.577 0.023 " " 0.534375 0.576563 0.023 " " 0.001 0.001 0.0 " " 0.101 0.0
0.844 0.355 0.028 " " 0.844531 0.355469 0.027 " " 0.001 0.0 0.001 " " 0.001 0.1
0.824 0.156 0.03 " " 0.823438 0.157813 0.027 " " 0.001 0.002 0.003 " " 0.201 0.3
0.709 0.334 0.023 " " 0.707812 0.335156 0.024 " " 0.001 0.001 0.001 " " 0.101 0.1
0.127 0.412 0.022 " " 0.128906 0.410937 0.024 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.603 0.913 0.042 " " 0.603125 0.914844 0.039 " " 0.0 0.002 0.003 " " 0.2 0.3
0.538 0.195 0.025 " " 0.538281 0.199219 0.026 " " 0.0 0.004 0.001 " " 0.4 0.1
0.896 0.759 0.038 " " 0.894531 0.763281 0.035 " " 0.002 0.005 0.003 " " 0.502 0.3
0.837 0.313 0.031 " " 0.840625 0.3125 0.028 " " 0.004 0.001 0.003 " " 0.10400000000000001 0.3
0.77 0.303 0.054 " " 0.76875 0.3 0.048 " " 0.001 0.003 0.006 " " 0.301 0.6
0.481 0.367 0.029 " " 0.477344 0.36875 0.028 " " 0.004 0.002 0.001 " " 0.20400000000000001 0.1
0.178 0.535 0.016 " " 2 2 2 " " 2 2 2 " " 202 200
0.68 0.567 0.03 " " 0.682813 0.56875 0.032 " " 0.002 0.002 0.002 " " 0.202 0.2
0.305 0.535 0.026 " " 0.3 0.534375 0.027 " " 0.005 0.001 0.001 " " 0.10500000000000001 0.1
0.359 0.448 0.03 " " 0.360938 0.445312 0.027 " " 0.002 0.002 0.003 " " 0.202 0.3
0.323 0.769 0.028 " " 0.319531 0.767969 0.025 " " 0.003 0.001 0.003 " " 0.10300000000000001 0.3
0.343 0.265 0.037 " " 2 2 2 " " 2 2 2 " " 202 200
0.174 0.28 0.024 " " 0.172656 0.282813 0.025 " " 0.002 0.002 0.001 " " 0.202 0.1
0.171 0.439 0.044 " " 0.176563 0.441406 0.046 " " 0.005 0.002 0.002 " " 0.20500000000000002 0.2
0.654 0.789 0.024 " " 0.653125 0.789844 0.026 " " 0.001 0.001 0.002 " " 0.101 0.2
0.013 0.582 0.039 " " 2 2 2 " " 2 2 2 " " 202 200
0.761 0.571 0.025 " " 0.758594 0.571094 0.022 " " 0.002 0.0 0.003 " " 0.002 0.3
0.074 0.305 0.037 " " 2 2 2 " " 2 2 2 " " 202 200
0.561 0.155 0.036 " " 0.559375 0.158594 0.038 " " 0.002 0.004 0.002 " " 0.402 0.2
0.238 0.798 0.041 " " 0.239063 0.792188 0.038 " " 0.001 0.006 0.003 " " 0.601 0.3
0.848 0.498 0.035 " " 0.846875 0.496094 0.036 " " 0.001 0.002 0.001 " " 0.201 0.1
0.75 0.716 0.04 " " 0.750781 0.717188 0.033 " " 0.001 0.001 0.007 " " 0.101 0.7000000000000001
0.014 0.534 0.018 " " 2 2 2 " " 2 2 2 " " 202 200
0.416 0.209 0.025 " " 0.415625 0.213281 0.026 " " 0.0 0.004 0.001 " " 0.4 0.1
0.56 0.292 0.042 " " 0.558594 0.298438 0.04 " " 0.002 0.006 0.002 " " 0.602 0.2
0.232 0.406 0.024 " " 0.230469 0.407813 0.025 " " 0.002 0.002 0.001 " " 0.202 0.1
0.067 0.502 0.033 " " 0.0679687 0.503906 0.033 " " 0.001 0.002 0.0 " " 0.201 0.0
0.131 0.291 0.023 " " 0.129688 0.292188 0.023 " " 0.002 0.001 0.0 " " 0.10200000000000001 0.0
0.738 0.33 0.026 " " 0.735156 0.336719 0.027 " " 0.002 0.007 0.001 " " 0.7020000000000001 0.1
0.498 0.471 0.027 " " 0.498437 0.470313 0.027 " " 0.0 0.001 0.0 " " 0.1 0.0
0.311 0.245 0.023 " " 0.308594 0.242969 0.023 " " 0.002 0.002 0.0 " " 0.202 0.0
0.969 0.335 0.027 " " 0.970312 0.336719 0.032 " " 0.002 0.002 0.005 " " 0.202 0.5
0.677 0.298 0.029 " " 0.672656 0.301562 0.024 " " 0.005 0.004 0.005 " " 0.405 0.5
0.484 0.427 0.023 " " 0.483594 0.427344 0.026 " " 0.0 0.001 0.003 " " 0.1 0.3
0.382 0.404 0.021 " " 0.382812 0.404687 0.025 " " 0.001 0.001 0.004 " " 0.101 0.4
0.067 0.248 0.023 " " 0.0664062 0.246875 0.022 " " 0.001 0.001 0.001 " " 0.101 0.1
0.297 0.749 0.037 " " 0.300781 0.744531 0.038 " " 0.004 0.005 0.001 " " 0.504 0.1
0.886 0.083 0.034 " " 0.884375 0.0828125 0.033 " " 0.002 0.0 0.001 " " 0.002 0.1
0.167 0.896 0.034 " " 0.166406 0.892969 0.027 " " 0.001 0.003 0.007 " " 0.301 0.7000000000000001
0.356 0.695 0.022 " " 2 2 2 " " 2 2 2 " " 202 200
0.391 0.202 0.024 " " 0.389844 0.2 0.023 " " 0.001 0.002 0.001 " " 0.201 0.1
0.152 0.258 0.02 " " 0.151562 0.257812 0.021 " " 0.0 0.0 0.001 " " 0.0 0.1
0.614 0.398 0.023 " " 2 2 2 " " 2 2 2 " " 202 200
0.087 0.427 0.022 " " 0.0851562 0.428906 0.025 " " 0.002 0.002 0.003 " " 0.202 0.3
0.44 0.738 0.033 " " 0.446094 0.740625 0.028 " " 0.006 0.002 0.005 " " 0.20600000000000002 0.5
0.973 0.155 0.032 " " 0.974219 0.155469 0.033 " " 0.001 0.0 0.001 " " 0.001 0.1
0.705 0.198 0.026 " " 0.705469 0.196875 0.026 " " 0.001 0.001 0.0 " " 0.101 0.0
0.345 0.315 0.022 " " 0.346875 0.315625 0.02 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.147 0.54 0.023 " " 0.146875 0.5375 0.022 " " 0.0 0.002 0.001 " " 0.2 0.1
0.969 0.404 0.041 " " 0.970312 0.405469 0.039 " " 0.002 0.002 0.002 " " 0.202 0.2
0.048 0.586 0.027 " " 0.05 0.585156 0.022 " " 0.002 0.001 0.005 " " 0.10200000000000001 0.5
0.615 0.306 0.026 " " 2 2 2 " " 2 2 2 " " 202 200
0.565 0.249 0.021 " " 0.567187 0.247656 0.022 " " 0.002 0.002 0.001 " " 0.202 0.1
0.195 0.257 0.018 " " 2 2 2 " " 2 2 2 " " 202 200
0.08 0.61 0.023 " " 0.0796875 0.6125 0.026 " " 0.0 0.002 0.003 " " 0.2 0.3
0.916 0.576 0.043 " " 0.914062 0.575781 0.045 " " 0.002 0.0 0.002 " " 0.002 0.2
0.779 0.903 0.027 " " 0.780469 0.902344 0.028 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.799 0.74 0.041 " " 0.796094 0.735937 0.037 " " 0.003 0.004 0.004 " " 0.403 0.4
0.539 0.613 0.022 " " 2 2 2 " " 2 2 2 " " 202 200
0.62 0.512 0.023 " " 2 2 2 " " 2 2 2 " " 202 200
0.538 0.234 0.024 " " 0.540625 0.232812 0.026 " " 0.002 0.002 0.002 " " 0.202 0.2
0.122 0.322 0.02 " " 0.121875 0.321875 0.023 " " 0.0 0.0 0.003 " " 0.0 0.3
0.306 0.055 0.024 " " 0.30625 0.0578125 0.025 " " 0.0 0.003 0.001 " " 0.3 0.1
0.979 0.039 0.026 " " 0.978125 0.0390625 0.029 " " 0.001 0.0 0.003 " " 0.001 0.3
0.536 0.348 0.023 " " 0.534375 0.35 0.025 " " 0.002 0.002 0.002 " " 0.202 0.2
0.927 0.22 0.035 " " 0.927344 0.221875 0.039 " " 0.001 0.002 0.004 " " 0.201 0.4
0.795 0.249 0.025 " " 0.796094 0.248437 0.026 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.527 0.743 0.031 " " 0.528906 0.742188 0.027 " " 0.002 0.001 0.004 " " 0.10200000000000001 0.4
0.214 0.566 0.023 " " 0.216406 0.566406 0.025 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.012 0.692 0.035 " " 2 2 2 " " 2 2 2 " " 202 200
0.094 0.343 0.018 " " 2 2 2 " " 2 2 2 " " 202 200
0.205 0.374 0.026 " " 2 2 2 " " 2 2 2 " " 202 200
0.165 0.1 0.026 " " 0.164844 0.1 0.025 " " 0.0 0.0 0.001 " " 0.0 0.1
0.398 0.827 0.021 " " 2 2 2 " " 2 2 2 " " 202 200
0.151 0.742 0.023 " " 0.153125 0.741406 0.025 " " 0.002 0.001 0.002 " " 0.10200000000000001 0.2
0.438 0.777 0.022 " " 2 2 2 " " 2 2 2 " " 202 200
0.56 0.845 0.035 " " 0.560938 0.846875 0.033 " " 0.001 0.002 0.002 " " 0.201 0.2
0.355 0.879 0.026 " " 2 2 2 " " 2 2 2 " " 202 200
0.116 0.507 0.023 " " 0.108594 0.529688 0.018 " " 0.007 0.023 0.005 " " 2.307 0.5
0.837 0.638 0.023 " " 0.835938 0.639844 0.025 " " 0.001 0.002 0.002 " " 0.201 0.2
0.378 0.662 0.019 " " 2 2 2 " " 2 2 2 " " 202 200
0.927 0.514 0.021 " " 0.928125 0.514844 0.024 " " 0.001 0.001 0.003 " " 0.101 0.3
0.208 0.747 0.033 " " 0.20625 0.746094 0.034 " " 0.002 0.001 0.001 " " 0.10200000000000001 0.1
0.469 0.645 0.02 " " 2 2 2 " " 2 2 2 " " 202 200
0.884 0.618 0.028 " " 0.886719 0.617969 0.031 " " 0.002 0.0 0.003 " " 0.002 0.3
0.92 0.177 0.021 " " 0.919531 0.178125 0.023 " " 0.001 0.001 0.002 " " 0.101 0.2
0.401 0.546 0.02 " " 2 2 2 " " 2 2 2 " " 202 200
0.292 0.152 0.035 " " 2 2 2 " " 2 2 2 " " 202 200
0.423 0.641 0.027 " " 0.421875 0.64375 0.032 " " 0.001 0.002 0.005 " " 0.201 0.5
0.039 0.237 0.026 " " 0.0367187 0.235938 0.023 " " 0.002 0.002 0.003 " " 0.202 0.3
0.746 0.093 0.022 " " 0.74375 0.0945313 0.022 " " 0.002 0.002 0.0 " " 0.202 0.0
0.767 0.389 0.036 " " 2 2 2 " " 2 2 2 " " 202 200
0.804 0.649 0.02 " " 0.803125 0.646875 0.021 " " 0.001 0.002 0.001 " " 0.201 0.1
0.065 0.752 0.017 " " 0.0648438 0.752344 0.018 " " 0.0 0.001 0.001 " " 0.1 0.1
0.046 0.111 0.017 " " 2 2 2 " " 2 2 2 " " 202 200
0.689 0.527 0.023 " " 2 2 2 " " 2 2 2 " " 202 200
0.145 0.131 0.023 " " 0.145313 0.129688 0.022 " " 0.001 0.002 0.001 " " 0.201 0.1
0.666 0.62 0.026 " " 0.665625 0.620313 0.024 " " 0.0 0.0 0.002 " " 0.0 0.2
0.752 0.877 0.023 " " 0.754687 0.878125 0.025 " " 0.002 0.002 0.002 " " 0.202 0.2
0.655 0.155 0.025 " " 0.653906 0.153125 0.024 " " 0.002 0.002 0.001 " " 0.202 0.1
0.724 0.891 0.029 " " 0.725 0.891406 0.027 " " 0.001 0.0 0.002 " " 0.001 0.2
0.595 0.498 0.024 " " 2 2 2 " " 2 2 2 " " 202 200
